Texto PlantUML, Etiqueta
"@startuml class Company { - companyId: int - name: String + getCompanyId(): int + getName(): String } class Employee { - employeeId: int - name: String + getEmployeeId(): int + getName(): String } Company \"1\" -- \"0..*\" Employee @enduml", GOODUMLTRUE,
"@startuml class Product { - productId: int - name: String - price: double + getProductId(): int + getName(): String + getPrice(): double } class Order { - orderId: int - totalAmount: double + getOrderId(): int + getTotalAmount(): double } Product \"1\" -- \"0..*\" Order @enduml", GOODUMLTRUE,
"@startuml class University { - universityId: int - name: String + getUniversityId(): int + getName(): String } class Professor { - professorId: int - name: String + getProfessorId(): int + getName(): String } University \"1\" -- \"0..*\" Professor @enduml", GOODUMLTRUE,
"@startuml class Library { - libraryId: int - name: String + getLibraryId(): int + getName(): String } class Book { - bookId: int - title: String + getBookId(): int + getTitle(): String } Library \"1\" -- \"0..*\" Book @enduml", GOODUMLTRUE,
"@startuml class School { - schoolId: int - name: String + getSchoolId(): int + getName(): String } class Student { - studentId: int - name: String + getStudentId(): int + getName(): String } School \"1\" -- \"0..*\" Student @enduml", GOODUMLTRUE,
"@startuml class Organization { - orgId: int - name: String + getOrgId(): int + getName(): String } class Employee { - empId: int - name: String + getEmpId(): int + getName(): String } Organization \"1\" -- \"0..*\" Employee @enduml", GOODUMLTRUE
"@startuml class Employee { - employeeId: int - name: String + getEmployeeId(): int + getName(): String } class Department { - departmentId: int - name: String + getDepartmentId(): int + getName(): String } Employee \"1\" -- \"0..1\" Department @enduml", GOODUMLTRUE,
"@startuml class Course { - courseId: int - name: String + getCourseId(): int + getName(): String } class Student { - studentId: int - name: String + getStudentId(): int + getName(): String } Course \"1\" -- \"0..*\" Student @enduml", GOODUMLTRUE,
"@startuml class Author { - authorId: int - name: String + getAuthorId(): int + getName(): String } class Book { - bookId: int - title: String + getBookId(): int + getTitle(): String } Author \"1\" -- \"0..*\" Book @enduml", GOODUMLTRUE,
"@startuml class Company { - companyId: int - name: String + getCompanyId(): int + getName(): String } class Employee { - employeeId: int - name: String + getEmployeeId(): int + getName(): String } Company \"1\" -- \"0..*\" Employee @enduml", GOODUMLTRUE,
"@startuml class Product { - productId: int - name: String - price: double + getProductId(): int + getName(): String + getPrice(): double } class Order { - orderId: int - totalAmount: double + getOrderId(): int + getTotalAmount(): double } Product \"1\" -- \"0..*\" Order @enduml", GOODUMLTRUE,
"@startuml class University { - universityId: int - name: String + getUniversityId(): int + getName(): String } class Professor { - professorId: int - name: String + getProfessorId(): int + getName(): String } University \"1\" -- \"0..*\" Professor @enduml", GOODUMLTRUE,
"@startuml class Library { - libraryId: int - name: String + getLibraryId(): int + getName(): String } class Book { - bookId: int - title: String + getBookId(): int + getTitle(): String } Library \"1\" -- \"0..*\" Book @enduml", GOODUMLTRUE,
"@startuml class School { - schoolId: int - name: String + getSchoolId(): int + getName(): String } class Student { - studentId: int - name: String + getStudentId(): int + getName(): String } School \"1\" -- \"0..*\" Student @enduml", GOODUMLTRUE,
"@startuml class Organization { - orgId: int - name: String + getOrgId(): int + getName(): String } class Employee { - empId: int - name: String + getEmpId(): int + getName(): String } Organization \"1\" -- \"0..*\" Employee @enduml", GOODUMLTRUE,
"@startuml class Product { - productId: int - name: String - price: double + getProductId(): int + getName(): String + getPrice(): double } class ShoppingCart { - items: List<Product> + addItem(item: Product): void + removeItem(item: Product): void + checkout(): void } Product \"1\" *-- \"0..*\" ShoppingCart @enduml", GOODUMLTRUE,
"@startuml class Person { - id: int - name: String + getId(): int + getName(): String } class Address { - street: String - city: String - zipCode: String + getStreet(): String + getCity(): String + getZipCode(): String } Person \"1\" -- \"1\" Address @enduml", GOODUMLTRUE,
"@startuml class Employee { - employeeId: int - name: String - position: String + getEmployeeId(): int + getName(): String + getPosition(): String } class Department { - departmentId: int - name: String + getDepartmentId(): int + getName(): String } Employee \"1\" -- \"0..1\" Department @enduml", GOODUMLTRUE,
"@startuml class Course { - courseId: int - name: String + getCourseId(): int + getName(): String } class Student { - studentId: int - name: String + getStudentId(): int + getName(): String } Course \"1\" -- \"0..*\" Student @enduml", GOODUMLTRUE,
"@startuml class Author { - authorId: int - name: String + getAuthorId(): int + getName(): String } class Book { - bookId: int - title: String + getBookId(): int + getTitle(): String } Author \"1\" -- \"0..*\" Book @enduml", GOODUMLTRUE,
"@startuml class Company { - companyId: int - name: String + getCompanyId(): int + getName(): String } class Employee { - employeeId: int - name: String + getEmployeeId(): int + getName(): String } Company \"1\" -- \"0..*\" Employee @enduml", GOODUMLTRUE,
"@startuml class Product { - productId: int - name: String - price: double + getProductId(): int + getName(): String + getPrice(): double } class Order { - orderId: int - totalAmount: double + getOrderId(): int + getTotalAmount(): double } Product \"1\" -- \"0..*\" Order @enduml", GOODUMLTRUE,
"@startuml class University { - universityId: int - name: String + getUniversityId(): int + getName(): String } class Professor { - professorId: int - name: String + getProfessorId(): int + getName(): String } University \"1\" -- \"0..*\" Professor @enduml", GOODUMLTRUE,
"@startuml class Library { - libraryId: int - name: String + getLibraryId(): int + getName(): String } class Book { - bookId: int - title: String + getBookId(): int + getTitle(): String } Library \"1\" -- \"0..*\" Book @enduml", GOODUMLTRUE,
"@startuml class School { - schoolId: int - name: String + getSchoolId(): int + getName(): String } class Student { - studentId: int - name: String + getStudentId(): int + getName(): String } School \"1\" -- \"0..*\" Student @enduml", GOODUMLTRUE,
"@startuml class Organization { - orgId: int - name: String + getOrgId(): int + getName(): String } class Employee { - empId: int - name: String + getEmpId(): int + getName(): String } Organization \"1\" -- \"0..*\" Employee @enduml", GOODUMLTRUE
"@startuml User -- Product Product -- Company Company -- User @enduml", GOODUMLFALSE,
"@startuml User -- Product2 Product2 -- Company2 Company2 -- User2 @enduml", GOODUMLFALSE,
"@startuml Product -- User User -- Company Company -- Product @enduml", GOODUMLFALSE,
"@startuml Product2 -- User2 User2 -- Company2 Company2 -- Product2 @enduml", GOODUMLFALSE,
"@startuml Company -- User User -- Product Product -- Company @enduml", GOODUMLFALSE,
"@startuml Company2 -- User2 User2 -- Product2 Product2 -- Company2 @enduml", GOODUMLFALSE,
"@startuml User -- Product -- Company -- User @enduml", GOODUMLFALSE,
"@startuml User2 -- Product2 -- Company2 -- User2 @enduml", GOODUMLFALSE,
"@startuml Product -- User -- Company -- Product @enduml", GOODUMLFALSE,
"@startuml Product2 -- User2 -- Company2 -- Product2 @enduml", GOODUMLFALSE,
"@startuml Company -- User -- Product -- Company @enduml", GOODUMLFALSE,
"@startuml Company2 -- User2 -- Product2 -- Company2 @enduml", GOODUMLFALSE,
"@startuml User Product Company User @enduml", GOODUMLFALSE,
"@startuml User2 Product2 Company2 User2 @enduml", GOODUMLFALSE,
"@startuml Product User Company Product @enduml", GOODUMLFALSE,
"@startuml Product2 User2 Company2 Product2 @enduml", GOODUMLFALSE,
"@startuml Company User Product Company @enduml", GOODUMLFALSE,
"@startuml Company2 User2 Product2 Company2 @enduml", GOODUMLFALSE,
"@startuml User Product Company User Product @enduml", GOODUMLFALSE,
"@startuml User2 Product2 Company2 User2 Product2 @enduml", GOODUMLFALSE,
"@startuml Product User Company Product Company @enduml", GOODUMLFALSE,
"@startuml Product2 User2 Company2 Product2 Company2 @enduml", GOODUMLFALSE,
"@startuml Company User Product Company User @enduml", GOODUMLFALSE,
"@startuml Company2 User2 Product2 Company2 User2 @enduml", GOODUMLFALSE,
"@startuml User -- Product -- Company2 -- User2 @enduml", GOODUMLFALSE,
"@startuml User2 -- Product2 -- Company -- User @enduml", GOODUMLFALSE,
"@startuml Product -- User2 -- Company -- Product2 @enduml", GOODUMLFALSE,
"@startuml Product2 -- User -- Company2 -- Product @enduml", GOODUMLFALSE,
"@startuml Company -- User2 -- Product -- Company2 @enduml", GOODUMLFALSE,
"@startuml Company2 -- User -- Product2 -- Company @enduml", GOODUMLFALSE,
"@startuml User Product2 Company User @enduml", GOODUMLFALSE,
"@startuml User2 Product Company2 User2 @enduml", GOODUMLFALSE,
"@startuml Product User2 Company Product2 @enduml", GOODUMLFALSE,
"@startuml Product2 User Company2 Product @enduml", GOODUMLFALSE,
"@startuml Company User2 Product2 Company2 @enduml", GOODUMLFALSE,
"@startuml Company2 User Product Company @enduml", GOODUMLFALSE,
"@startuml User Product2 Company2 User Product2 @enduml", GOODUMLFALSE,
"@startuml User2 Product Company User2 Product @enduml", GOODUMLFALSE,
"@startuml Product User2 Company2 Product Company2 @enduml", GOODUMLFALSE,
"@startuml Product2 User Company Product2 Company @enduml", GOODUMLFALSE,
"@startuml Company User2 Product Company User2 @enduml", GOODUMLFALSE,
"@startuml Company2 User Product2 Company2 User @enduml", GOODUMLFALSE
